pos	5pC>T
1	0.6527570789865872
2	0.4794326241134752
3	0.3635077793493635
4	0.324468085106383
5	0.2138200782268579
6	0.16412213740458015
7	0.15186915887850466
8	0.1397228637413395
9	0.12469437652811736
10	0.09198113207547169
11	0.075
12	0.09356014580801944
13	0.0871559633027523
14	0.07790697674418605
15	0.05896510228640193
16	0.05389908256880734
17	0.05785123966942149
18	0.05910735826296743
19	0.064
20	0.0779510022271715
21	0.06658739595719382
22	0.05767012687427912
23	0.072480181200453
24	0.05963302752293578
25	0.08775981524249422
