#Coverage (X)	Coverage
1.0	98.31332533013206
2.0	97.97118847539015
3.0	96.90276110444178
4.0	95.46818727490997
5.0	93.13325330132052
6.0	88.25930372148859
7.0	82.0048019207683
8.0	73.75150060024009
9.0	63.91956782713085
10.0	53.391356542617046
11.0	43.22328931572629
12.0	33.57142857142857
13.0	25.564225690276103
14.0	18.865546218487395
15.0	13.175270108043222
16.0	8.871548619447779
17.0	5.648259303721488
18.0	3.235294117647058
19.0	1.9687875150059995
20.0	1.3685474189675801
21.0	0.7683073229291608
22.0	0.44417767106841666
23.0	0.19807923169265962
24.0	0.08403361344535654
25.0	0.04201680672267116
26.0	0.018007202881136664
27.0	0.012004801920753039
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
