pos	3pG>A
1	0.002036659877800407
2	0.007530120481927711
3	0.01015228426395939
4	0.011475409836065573
5	0.007017543859649123
6	0.0018018018018018018
7	0.0017513134851138354
8	0.006493506493506494
9	0.0017953321364452424
10	0.0016863406408094434
11	0.013628620102214651
12	0.00392156862745098
13	0.008787346221441126
14	0.0038910505836575876
15	0.0054249547920434
16	0.010327022375215147
17	0.0037174721189591076
18	0.005415162454873646
19	0.00667779632721202
20	0.006825938566552901
21	0.00539568345323741
22	0.005199306759098787
23	0.003703703703703704
24	0.011131725417439703
25	0.005110732538330494
