pos	5pC>T
1	0.6634980988593155
2	0.47186932849364793
3	0.38301886792452833
4	0.32304900181488205
5	0.21392190152801357
6	0.16407599309153714
7	0.1590909090909091
8	0.14088820826952528
9	0.11594202898550725
10	0.09828393135725429
11	0.07898658718330849
12	0.10789049919484701
13	0.08761329305135952
14	0.08
15	0.06050955414012739
16	0.044977511244377814
17	0.06069802731411229
18	0.05642633228840126
19	0.07462686567164178
20	0.08651026392961877
21	0.06591639871382636
22	0.06132075471698113
23	0.0688622754491018
24	0.0744047619047619
25	0.08444444444444445
