#Coverage (X)	Coverage
1.0	98.1812725090036
2.0	97.29891956782713
3.0	95.15606242496999
4.0	90.57623049219688
5.0	83.1452581032413
6.0	72.62304921968787
7.0	59.795918367346935
8.0	47.509003601440575
9.0	36.968787515006
10.0	26.806722689075627
11.0	18.54141656662665
12.0	12.238895558223291
13.0	7.623049219687871
14.0	4.591836734693871
15.0	2.7671068427370926
16.0	1.5426170468187195
17.0	0.8523409363745458
18.0	0.4501800720288145
19.0	0.2821128451380588
20.0	0.18607442977190658
21.0	0.06602641056421987
22.0	0.01200480192076725
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
