pos	3pG>A
1	0.0013605442176870747
2	0.006910167818361303
3	0.008958566629339306
4	0.01021566401816118
5	0.007918552036199095
6	0.0023501762632197414
7	0.0035169988276670576
8	0.008583690987124463
9	0.0036540803897685747
10	0.0045871559633027525
11	0.010169491525423728
12	0.0036275695284159614
13	0.007290400972053463
14	0.0024906600249066002
15	0.010650887573964497
16	0.010192525481313703
17	0.004830917874396135
18	0.004744958481613286
19	0.007001166861143524
20	0.009195402298850575
21	0.005793742757821553
22	0.004651162790697674
23	0.003663003663003663
24	0.008663366336633664
25	0.00663716814159292
