COV_COND,COR_MODE,CNT_N
COV-5.RUN-1,no_correction,2697
COV-7.5.RUN-1,no_correction,1096
COV-5.RUN-4,no_correction,2506
COV-10.RUN-4,no_correction,579
COV-7.5.RUN-4,no_correction,959
COV-10.RUN-2,no_correction,509
COV-10.RUN-1,no_correction,578
COV-5.RUN-3,no_correction,2846
COV-5.RUN-2,no_correction,2645
COV-10.RUN-5,no_correction,588
COV-5.RUN-5,no_correction,2867
COV-7.5.RUN-2,no_correction,897
COV-7.5.RUN-3,no_correction,999
COV-10.RUN-3,no_correction,622
COV-7.5.RUN-5,no_correction,1067
COV-5.RUN-3,ref-based_silencing,2960
COV-5.RUN-1,ref-based_silencing,2813
COV-5.RUN-2,ref-based_silencing,2749
COV-5.RUN-4,ref-based_silencing,2613
COV-7.5.RUN-3,ref-based_silencing,978
COV-10.RUN-4,ref-based_silencing,511
COV-10.RUN-1,ref-based_silencing,514
COV-10.RUN-2,ref-based_silencing,457
COV-5.RUN-5,ref-based_silencing,2993
COV-7.5.RUN-4,ref-based_silencing,921
COV-10.RUN-5,ref-based_silencing,540
COV-10.RUN-3,ref-based_silencing,566
COV-7.5.RUN-1,ref-based_silencing,1062
COV-7.5.RUN-5,ref-based_silencing,1035
COV-7.5.RUN-2,ref-based_silencing,884
COV-10.RUN-5,ref-free_weighting,523
COV-7.5.RUN-5,ref-free_weighting,972
COV-7.5.RUN-4,ref-free_weighting,858
COV-5.RUN-2,ref-free_weighting,2561
COV-10.RUN-1,ref-free_weighting,503
COV-7.5.RUN-3,ref-free_weighting,903
COV-5.RUN-1,ref-free_weighting,2619
COV-5.RUN-4,ref-free_weighting,2411
COV-10.RUN-4,ref-free_weighting,492
COV-10.RUN-2,ref-free_weighting,440
COV-5.RUN-3,ref-free_weighting,2789
COV-7.5.RUN-1,ref-free_weighting,1021
COV-7.5.RUN-2,ref-free_weighting,822
COV-5.RUN-5,ref-free_weighting,2791
COV-10.RUN-3,ref-free_weighting,545
COV-7.5.RUN-3,ref-free_silencing,962
COV-10.RUN-3,ref-free_silencing,556
COV-5.RUN-2,ref-free_silencing,2739
COV-10.RUN-5,ref-free_silencing,524
COV-5.RUN-5,ref-free_silencing,2980
COV-5.RUN-4,ref-free_silencing,2595
COV-5.RUN-1,ref-free_silencing,2803
COV-5.RUN-3,ref-free_silencing,2952
COV-7.5.RUN-2,ref-free_silencing,873
COV-7.5.RUN-5,ref-free_silencing,1016
COV-7.5.RUN-1,ref-free_silencing,1057
COV-10.RUN-2,ref-free_silencing,442
COV-10.RUN-4,ref-free_silencing,488
COV-10.RUN-1,ref-free_silencing,498
COV-7.5.RUN-4,ref-free_silencing,900
